Topic,Count,Name,Representation,Representative_Docs
-1,38315,-1_to_the_of_in,"['to', 'the', 'of', 'in', 'and', 'for', 'on', '39s', 'that', 'its']",
0,25355,0_its_to_on_the,"['its', 'to', 'on', 'the', 'oil', 'and', 'us', 'new', 'of', 'prices']",
1,24846,1_the_in_his_at,"['the', 'in', 'his', 'at', 'to', 'for', 'and', 'win', 'ap', 'game']",
2,6751,2_iraq_gaza_killed_in,"['iraq', 'gaza', 'killed', 'in', 'israeli', 'iraqi', 'baghdad', 'palestinian', 'militants', 'of']",
3,1817,3_kerry_bush_john_ap,"['kerry', 'bush', 'john', 'ap', 'president', 'presidential', 'democratic', 'election', 'campaign', 'voters']",
4,1779,4_hurricane_haiti_storm_ivan,"['hurricane', 'haiti', 'storm', 'ivan', 'japan', 'people', 'typhoon', 'florida', 'jeanne', 'and']",
5,1499,5_drug_vioxx_merck_heart,"['drug', 'vioxx', 'merck', 'heart', 'arthritis', 'fda', 'flu', 'drugs', 'vaccine', 'patients']",
6,1466,6_space_nasa_station_genesis,"['space', 'nasa', 'station', 'genesis', 'crew', 'spaceshipone', 'capsule', 'prize', 'shuttle', 'spacecom']",
7,1370,7_game_nintendo_video_games,"['game', 'nintendo', 'video', 'games', 'ds', 'halo', 'sony', 'xbox', 'playstation', 'handheld']",
8,1308,8_darfur_sudan_ivory_un,"['darfur', 'sudan', 'ivory', 'un', 'region', 'african', 'coast', 'sudanese', 'rebels', 'peace']",
9,939,9_iran_nuclear_uranium_tehran,"['iran', 'nuclear', 'uranium', 'tehran', 'enrichment', 'un', 'atomic', 'iranian', 'weapons', 'program']",
10,928,10_peoplesoft_oracle_takeover_bid,"['peoplesoft', 'oracle', 'takeover', 'bid', 'hostile', 'offer', 'software', 'conway', 'rival', 'oracles']",
11,848,11_russia_putin_school_ukraine,"['russia', 'putin', 'school', 'ukraine', 'russian', 'chechen', 'beslan', 'vladimir', 'siege', 'chechnya']",
12,705,12_pakistan_kashmir_musharraf_india,"['pakistan', 'kashmir', 'musharraf', 'india', 'pervez', 'minister', 'prime', 'manmohan', 'delhi', 'singh']",
13,700,13_species_endangered_whales_fish,"['species', 'endangered', 'whales', 'fish', 'wildlife', 'bird', 'ap', 'birds', 'study', 'extinction']",
14,608,14_warming_climate_arctic_global,"['warming', 'climate', 'arctic', 'global', 'emissions', 'change', 'pollution', 'greenhouse', 'ice', 'glaciers']",
15,582,15_china_taiwan_hong_kong,"['china', 'taiwan', 'hong', 'kong', 'chinese', 'beijing', 'chen', 'hu', 'shuibian', 'jiang']",
16,580,16_korea_north_nuclear_korean,"['korea', 'north', 'nuclear', 'korean', 'talks', 'south', 'seoul', 'nkorea', 'pyongyang', 'weapons']",
17,429,17_yukos_oil_russian_russia,"['yukos', 'oil', 'russian', 'russia', 'moscow', 'gazprom', 'giant', 'tax', 'unit', 'auction']",
18,371,18_nhl_players_lockout_hockey,"['nhl', 'players', 'lockout', 'hockey', 'league', 'association', 'season', 'owners', 'nhlpa', 'toronto']",
19,353,19_browser_firefox_mozilla_explorer,"['browser', 'firefox', 'mozilla', 'explorer', 'internet', 'web', 'netscape', 'microsoft', 'ie', 'browsers']",
20,348,20_fossil_found_ancient_species,"['fossil', 'found', 'ancient', 'species', 'dinosaur', 'scientists', 'humans', 'discovered', 'human', 'ancestor']",
21,326,21_karzai_afghan_hamid_afghanistan,"['karzai', 'afghan', 'hamid', 'afghanistan', 'election', 'presidential', 'kabul', 'afghanistans', 'vote', 'president']",
22,319,22_milosevic_crimes_serb_war,"['milosevic', 'crimes', 'serb', 'war', 'slobodan', 'bosnian', 'yugoslav', 'hague', 'bosnia', 'trial']",
23,300,23_blair_tony_iraq_bush,"['blair', 'tony', 'iraq', 'bush', 'war', 'prime', 'labour', 'minister', 'party', 'saddam']",
24,289,24_turkey_eu_european_membership,"['turkey', 'eu', 'european', 'membership', 'union', 'turkish', 'talks', 'ankara', 'constitution', 'commission']",
25,281,25_howard_john_election_latham,"['howard', 'john', 'election', 'latham', 'prime', 'australian', 'minister', 'australia', 'labor', 'opposition']",
26,279,26_nobel_prize_maathai_peace,"['nobel', 'prize', 'maathai', 'peace', 'science', 'wangari', 'kenyan', 'evolution', 'environmentalist', 'math']",
27,242,27_thatcher_guinea_coup_equatorial,"['thatcher', 'guinea', 'coup', 'equatorial', 'zimbabwe', 'plot', 'mugabe', 'mark', 'south', 'alleged']",
28,232,28_saturn_titan_cassini_moon,"['saturn', 'titan', 'cassini', 'moon', 'spacecraft', 'moons', 'flyby', 'saturns', 'surface', 'scientists']",
29,229,29_chavez_cuba_cuban_venezuela,"['chavez', 'cuba', 'cuban', 'venezuela', 'hugo', 'castro', 'referendum', 'president', 'fidel', 'havana']",
30,228,30_opec_oil_output_prices,"['opec', 'oil', 'output', 'prices', 'barrels', 'production', 'saudi', 'cartel', 'arabia', 'quotas']",
31,224,31_radio_satellite_sirius_xm,"['radio', 'satellite', 'sirius', 'xm', 'stern', 'howard', 'karmazin', 'jock', 'viacom', 'broadcast']",
32,224,32_fannie_mae_mortgage_accounting,"['fannie', 'mae', 'mortgage', 'accounting', 'freddie', 'finance', 'mac', 'regulators', 'regulator', 'giant']",
33,223,33_mars_rovers_water_rover,"['mars', 'rovers', 'water', 'rover', 'spirit', 'nasa', 'opportunity', 'planet', 'life', 'evidence']",
34,220,34_stewart_martha_prison_her,"['stewart', 'martha', 'prison', 'her', 'she', 'sentence', 'lying', 'fivemonth', 'serving', 'omnimedia']",
35,218,35_tax_corporate_bill_senate,"['tax', 'corporate', 'bill', 'senate', 'bush', 'taxes', 'congress', 'cuts', 'house', 'president']",
36,202,36_ireland_northern_ira_sinn,"['ireland', 'northern', 'ira', 'sinn', 'irish', 'paisley', 'fein', 'peace', 'talks', 'deal']",
37,189,37_casino_trump_casinos_gambling,"['casino', 'trump', 'casinos', 'gambling', 'caesars', 'gaming', 'donald', 'hotels', 'vegas', 'harrah']",
38,186,38_disney_eisner_ovitz_walt,"['disney', 'eisner', 'ovitz', 'walt', 'michael', 'co', 'chief', 'executive', 'board', 'directors']",
39,180,39_canadian_press_cp_ottawa,"['canadian', 'press', 'cp', 'ottawa', 'martin', 'canada', 'paul', 'minister', 'bush', 'prime']",
40,172,40_ebay_auction_online_rentcom,"['ebay', 'auction', 'online', 'rentcom', 'amazoncom', 'internet', 'site', 'sellers', 'joyocom', 'macromedia']",
41,171,41_myanmar_burma_suu_kyi,"['myanmar', 'burma', 'suu', 'kyi', 'aung', 'democracy', 'junta', 'military', 'prisoners', 'myanmars']",
42,169,42_batteries_adapters_dell_powerbook,"['batteries', 'adapters', 'dell', 'powerbook', 'lexmark', 'recalls', 'recall', 'laptop', 'recalled', 'printers']",
43,162,43_google_books_libraries_library,"['google', 'books', 'libraries', 'library', 'search', 'book', 'online', 'print', 'scan', 'digitize']",
44,162,44_yudhoyono_indonesia_susilo_megawati,"['yudhoyono', 'indonesia', 'susilo', 'megawati', 'bambang', 'sukarnoputri', 'indonesias', 'indonesian', 'president', 'election']",
45,161,45_annan_kofi_un_secretarygeneral,"['annan', 'kofi', 'un', 'secretarygeneral', 'nations', 'oilforfood', 'united', 'iraq', 'secretary', 'resignation']",
46,154,46_nortel_networks_corp_financial,"['nortel', 'networks', 'corp', 'financial', 'results', 'accounting', '3500', 'equipment', 'it', 'hrefhttpwwwinvestorreuterscomfullquoteaspxtickerntto']",
47,149,47_dutch_filmmaker_netherlands_gogh,"['dutch', 'filmmaker', 'netherlands', 'gogh', 'amsterdam', 'theo', 'van', 'islam', 'suspected', 'muslim']",
48,147,48_gold_fields_harmony_mining,"['gold', 'fields', 'harmony', 'mining', 'bid', 'takeover', 'south', 'hostile', 'african', 'ltd']",
49,145,49_train_crash_people_injured,"['train', 'crash', 'people', 'injured', 'bus', 'killed', 'least', 'plutonium', 'trains', 'derailed']",
50,144,50_glazer_manchester_malcolm_united,"['glazer', 'manchester', 'malcolm', 'united', 'takeover', 'club', 'bid', 'tycoon', 'utd', 'stake']",
51,140,51_cocacola_coke_soft_drinks,"['cocacola', 'coke', 'soft', 'drinks', 'pepsico', 'profit', 'drink', 'earnings', 'pepsi', 'sales']",
52,139,52_eta_basque_spain_madrid,"['eta', 'basque', 'spain', 'madrid', 'spanish', 'separatist', 'bombs', 'train', 'bombings', 'suspected']",
53,137,53_mine_miners_coal_china,"['mine', 'miners', 'coal', 'china', 'explosion', 'trapped', 'blast', 'gas', 'toll', 'missing']",
54,134,54_trade_asean_asian_southeast,"['trade', 'asean', 'asian', 'southeast', 'apec', 'free', 'summit', 'economic', 'asiapacific', 'chile']",
55,133,55_hollinger_black_conrad_international,"['hollinger', 'black', 'conrad', 'international', 'inc', 'baron', 'former', 'company', 'lord', 'radler']",
56,131,56_flu_bird_thailand_outbreak,"['flu', 'bird', 'thailand', 'outbreak', 'virus', 'malaysia', 'deadly', 'pigs', 'avian', 'thai']",
57,129,57_lebanon_syria_lebanese_beirut,"['lebanon', 'syria', 'lebanese', 'beirut', 'lahoud', 'resolution', 'un', 'syrian', 'emile', 'term']",
58,124,58_halliburton_army_kbr_asbestos,"['halliburton', 'army', 'kbr', 'asbestos', 'co', 'withhold', 'iraq', 'unit', 'contracts', 'company']",
59,124,59_helens_mount_st_volcano,"['helens', 'mount', 'st', 'volcano', 'lava', 'eruption', 'steam', 'crater', 'scientists', 'earthquakes']",
60,122,60_japanese_hostage_japan_iraq,"['japanese', 'hostage', 'japan', 'iraq', 'tokyo', 'body', 'troops', 'koizumi', 'junichiro', 'koda']",
61,122,61_russian_moscow_crashed_wreckage,"['russian', 'moscow', 'crashed', 'wreckage', 'planes', 'russia', 'explosives', 'plane', 'crashes', 'investigators']",
62,113,62_speed_nasa_jet_x43a,"['speed', 'nasa', 'jet', 'x43a', 'hypersonic', 'mach', 'scramjet', 'flight', 'record', 'sound']",
63,112,63_intelligence_bill_house_congress,"['intelligence', 'bill', 'house', 'congress', '911', 'senate', 'sept', '11', 'agencies', 'recommendations']",
64,111,64_rfid_identification_ibm_frequency,"['rfid', 'identification', 'ibm', 'frequency', 'radio', 'tags', 'technology', 'services', 'sensor', 'radiofrequency']",
65,110,65_human_sheep_genes_dolly,"['human', 'sheep', 'genes', 'dolly', 'disease', 'cloned', 'embryos', 'genetic', 'scientists', 'grass']",
66,110,66_prince_harry_charles_diana,"['prince', 'harry', 'charles', 'diana', 'photographer', 'nightclub', 'scuffle', 'princess', 'london', 'royal']",
67,105,67_pinochet_augusto_chile_chilean,"['pinochet', 'augusto', 'chile', 'chilean', 'dictator', 'immunity', 'former', 'rights', 'judge', 'human']",
68,104,68_confidence_consumer_sentiment_consumers,"['confidence', 'consumer', 'sentiment', 'consumers', 'job', 'august', 'survey', 'september', 'us', 'worries']",
69,102,69_salvation_army_ringers_bell,"['salvation', 'army', 'ringers', 'bell', 'target', 'kettle', 'holiday', 'kettles', 'christmas', 'stores']",
